index,orderdate,total_customers,eu_continent,au_continent,na_continent
0,2023-01-01,12,6,1,5
1,2023-01-02,49,15,3,31
2,2023-01-03,64,17,3,44
3,2023-01-04,78,28,4,46
4,2023-01-05,87,22,8,57
5,2023-01-06,57,18,5,34
6,2023-01-07,99,26,7,66
7,2023-01-08,10,4,1,5
8,2023-01-09,43,10,3,30
9,2023-01-10,49,11,5,33
10,2023-01-11,65,17,5,43
11,2023-01-12,67,28,5,34
12,2023-01-13,49,18,4,27
13,2023-01-14,82,21,8,53
14,2023-01-15,8,3,0,5
15,2023-01-16,38,7,2,29
16,2023-01-17,46,15,1,30
17,2023-01-18,62,19,5,38
18,2023-01-19,64,15,3,46
19,2023-01-20,47,19,1,27
20,2023-01-21,78,18,6,54
21,2023-01-22,8,3,0,5
22,2023-01-23,36,10,3,23
23,2023-01-24,48,13,4,31
24,2023-01-25,59,14,4,41
25,2023-01-26,67,19,7,41
26,2023-01-27,46,9,3,34
27,2023-01-28,83,24,7,52
28,2023-01-29,8,3,1,4
29,2023-01-30,38,16,6,16
30,2023-01-31,45,11,0,34
31,2023-02-01,63,19,3,41
32,2023-02-02,65,22,2,41
33,2023-02-03,49,19,2,28
34,2023-02-04,79,28,2,49
35,2023-02-05,7,3,0,4
36,2023-02-06,37,15,3,19
37,2023-02-07,48,15,6,27
38,2023-02-08,61,20,5,36
39,2023-02-09,61,24,6,31
40,2023-02-10,46,16,1,29
41,2023-02-11,88,29,8,51
42,2023-02-12,11,4,0,7
43,2023-02-13,52,21,2,29
44,2023-02-14,75,24,2,49
45,2023-02-15,100,37,9,54
46,2023-02-16,121,37,11,73
47,2023-02-17,85,23,5,57
48,2023-02-18,157,47,10,100
49,2023-02-19,16,4,5,7
50,2023-02-20,76,23,4,49
51,2023-02-21,90,29,7,54
52,2023-02-22,122,45,3,74
53,2023-02-23,121,47,4,70
54,2023-02-24,86,23,7,56
55,2023-02-25,133,44,5,84
56,2023-02-26,13,2,2,9
57,2023-02-27,52,16,3,33
58,2023-02-28,63,17,5,41
59,2023-03-01,69,20,9,40
60,2023-03-02,61,22,5,34
61,2023-03-03,45,19,3,23
62,2023-03-04,75,28,5,42
63,2023-03-05,8,1,0,7
64,2023-03-06,34,7,2,25
65,2023-03-07,45,8,3,34
66,2023-03-08,56,18,5,33
67,2023-03-09,63,23,4,36
68,2023-03-10,42,18,2,22
69,2023-03-11,78,25,2,51
70,2023-03-12,8,2,0,6
71,2023-03-13,35,10,4,21
72,2023-03-14,38,9,3,26
73,2023-03-15,50,20,3,27
74,2023-03-16,49,18,4,27
75,2023-03-17,34,12,0,22
76,2023-03-18,53,21,7,25
77,2023-03-19,5,2,0,3
78,2023-03-20,21,8,2,11
79,2023-03-21,26,9,3,14
80,2023-03-22,30,7,3,20
81,2023-03-23,31,8,1,22
82,2023-03-24,19,7,1,11
83,2023-03-25,30,7,0,23
84,2023-03-26,2,0,0,2
85,2023-03-27,11,1,1,9
86,2023-03-28,13,5,0,8
87,2023-03-29,16,6,0,10
88,2023-03-30,15,4,2,9
89,2023-03-31,10,2,2,6
90,2023-04-01,17,6,0,11
91,2023-04-02,1,0,0,1
92,2023-04-03,6,2,0,4
93,2023-04-04,8,2,0,6
94,2023-04-05,10,3,0,7
95,2023-04-06,11,4,0,7
96,2023-04-07,8,2,2,4
97,2023-04-08,14,2,3,9
